stamp,year,month,day,hour,minute,weekday,holiday,daylight,rain,volume
2016-01-01 00:00:00,2016,1,1,0,0,5,0.5,0.0,0.0,2388
2016-01-01 00:30:00,2016,1,1,0,30,5,0.5,0.0,0.0,5496
2016-01-01 01:00:00,2016,1,1,1,0,5,0.5,0.0,0.0,5172
2016-01-01 01:30:00,2016,1,1,1,30,5,0.5,0.0,0.0,4464
2016-01-01 02:00:00,2016,1,1,2,0,5,0.5,0.0,0.0,3504
2016-01-01 02:30:00,2016,1,1,2,30,5,0.5,0.0,0.0,2664
2016-01-01 03:00:00,2016,1,1,3,0,5,0.5,0.0,0.0,2136
2016-01-01 03:30:00,2016,1,1,3,30,5,0.5,0.0,0.0,1452
2016-01-01 04:00:00,2016,1,1,4,0,5,0.5,0.0,0.0,1044
2016-01-01 04:30:00,2016,1,1,4,30,5,0.5,0.0,0.0,864
2016-01-01 05:00:00,2016,1,1,5,0,5,0.5,0.0,0.0,864
2016-01-01 05:30:00,2016,1,1,5,30,5,0.5,0.0,0.0,912
2016-01-01 06:00:00,2016,1,1,6,0,5,0.5,0.0,0.0,1116
2016-01-01 06:30:00,2016,1,1,6,30,5,0.5,0.0,0.0,1380
2016-01-01 07:00:00,2016,1,1,7,0,5,0.5,0.0,0.0,1620
2016-01-01 07:30:00,2016,1,1,7,30,5,0.5,0.0,0.0,1872
2016-01-01 08:00:00,2016,1,1,8,0,5,0.5,0.0,0.0,1968
2016-01-01 08:30:00,2016,1,1,8,30,5,0.5,0.0,0.0,2412
2016-01-01 09:00:00,2016,1,1,9,0,5,0.5,0.0,0.0,3084
2016-01-01 09:30:00,2016,1,1,9,30,5,0.5,0.0,0.0,3864
2016-01-01 10:00:00,2016,1,1,10,0,5,0.5,0.0,0.0,4500
2016-01-01 10:30:00,2016,1,1,10,30,5,0.5,0.0,0.0,5388
2016-01-01 11:00:00,2016,1,1,11,0,5,0.5,0.0,0.0,5880
2016-01-01 11:30:00,2016,1,1,11,30,5,0.5,0.0,0.0,6540
2016-01-01 12:00:00,2016,1,1,12,0,5,0.5,0.0,0.0,6996
2016-01-01 12:30:00,2016,1,1,12,30,5,0.5,0.0,0.0,7164
2016-01-01 13:00:00,2016,1,1,13,0,5,0.5,0.0,0.0,7008
2016-01-01 13:30:00,2016,1,1,13,30,5,0.5,0.0,0.0,7308
2016-01-01 14:00:00,2016,1,1,14,0,5,0.5,0.0,0.0,7452
2016-01-01 14:30:00,2016,1,1,14,30,5,0.5,0.0,0.0,7092
2016-01-01 15:00:00,2016,1,1,15,0,5,0.5,0.0,0.0,7512
2016-01-01 15:30:00,2016,1,1,15,30,5,0.5,0.0,0.0,6852
2016-01-01 16:00:00,2016,1,1,16,0,5,0.5,0.0,0.0,6360
2016-01-01 16:30:00,2016,1,1,16,30,5,0.5,0.0,0.0,6804
2016-01-01 17:00:00,2016,1,1,17,0,5,0.5,0.0,0.0,6120
2016-01-01 17:30:00,2016,1,1,17,30,5,0.5,0.0,0.0,5688
2016-01-01 18:00:00,2016,1,1,18,0,5,0.5,0.0,0.0,5616
