stamp,year,month,day,hour,minute,weekday,holiday,daylight,rain,volume
2016-03-01 00:00:00,2016,3,1,0,0,2,0.0,0.0,0.0,552
2016-03-01 00:10:00,2016,3,1,0,10,2,0.0,0.0,0.0,456
2016-03-01 00:20:00,2016,3,1,0,20,2,0.0,0.0,0.0,528
2016-03-01 00:30:00,2016,3,1,0,30,2,0.0,0.0,0.0,396
2016-03-01 00:40:00,2016,3,1,0,40,2,0.0,0.0,0.0,384
2016-03-01 00:50:00,2016,3,1,0,50,2,0.0,0.0,0.0,336
2016-03-01 01:00:00,2016,3,1,1,0,2,0.0,0.0,0.0,264
2016-03-01 01:10:00,2016,3,1,1,10,2,0.0,0.0,0.0,360
2016-03-01 01:20:00,2016,3,1,1,20,2,0.0,0.0,0.0,276
2016-03-01 01:30:00,2016,3,1,1,30,2,0.0,0.0,0.0,252
2016-03-01 01:40:00,2016,3,1,1,40,2,0.0,0.0,0.0,264
2016-03-01 01:50:00,2016,3,1,1,50,2,0.0,0.0,0.0,252
2016-03-01 02:00:00,2016,3,1,2,0,2,0.0,0.0,0.0,264
2016-03-01 02:10:00,2016,3,1,2,10,2,0.0,0.0,0.0,228
2016-03-01 02:20:00,2016,3,1,2,20,2,0.0,0.0,0.0,240
2016-03-01 02:30:00,2016,3,1,2,30,2,0.0,0.0,0.0,192
2016-03-01 02:40:00,2016,3,1,2,40,2,0.0,0.0,0.0,216
2016-03-01 02:50:00,2016,3,1,2,50,2,0.0,0.0,0.0,216
2016-03-01 03:00:00,2016,3,1,3,0,2,0.0,0.0,0.0,228
2016-03-01 03:10:00,2016,3,1,3,10,2,0.0,0.0,0.0,180
2016-03-01 03:20:00,2016,3,1,3,20,2,0.0,0.0,0.0,216
2016-03-01 03:30:00,2016,3,1,3,30,2,0.0,0.0,0.0,192
2016-03-01 03:40:00,2016,3,1,3,40,2,0.0,0.0,0.0,288
2016-03-01 03:50:00,2016,3,1,3,50,2,0.0,0.0,0.0,312
2016-03-01 04:00:00,2016,3,1,4,0,2,0.0,0.0,0.0,300
2016-03-01 04:10:00,2016,3,1,4,10,2,0.0,0.0,0.0,360
2016-03-01 04:20:00,2016,3,1,4,20,2,0.0,0.0,0.0,432
2016-03-01 04:30:00,2016,3,1,4,30,2,0.0,0.0,0.0,600
2016-03-01 04:40:00,2016,3,1,4,40,2,0.0,0.0,0.0,648
2016-03-01 04:50:00,2016,3,1,4,50,2,0.0,0.0,0.0,600
2016-03-01 05:00:00,2016,3,1,5,0,2,0.0,0.0,0.0,768
2016-03-01 05:10:00,2016,3,1,5,10,2,0.0,0.0,0.0,948
2016-03-01 05:20:00,2016,3,1,5,20,2,0.0,0.0,0.0,1092
2016-03-01 05:30:00,2016,3,1,5,30,2,0.0,0.0,0.0,1272
2016-03-01 05:40:00,2016,3,1,5,40,2,0.0,0.0,0.0,1560
2016-03-01 05:50:00,2016,3,1,5,50,2,0.0,0.0,0.0,1272
2016-03-01 06:00:00,2016,3,1,6,0,2,0.0,0.0,0.0,1452
2016-03-01 06:10:00,2016,3,1,6,10,2,0.0,0.0,0.0,1764
2016-03-01 06:20:00,2016,3,1,6,20,2,0.0,0.0,0.0,1728
2016-03-01 06:30:00,2016,3,1,6,30,2,0.0,0.0,0.0,2100
2016-03-01 06:40:00,2016,3,1,6,40,2,0.0,0.0,0.0,2484
2016-03-01 06:50:00,2016,3,1,6,50,2,0.0,0.0,0.0,2064
2016-03-01 07:00:00,2016,3,1,7,0,2,0.0,0.0,0.0,2160
2016-03-01 07:10:00,2016,3,1,7,10,2,0.0,0.0,0.0,2568
2016-03-01 07:20:00,2016,3,1,7,20,2,0.0,0.0,0.0,2508
2016-03-01 07:30:00,2016,3,1,7,30,2,0.0,0.0,0.0,2760
2016-03-01 07:40:00,2016,3,1,7,40,2,0.0,0.0,0.0,2700
